"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-09","0.01",",,S","81","H,,S","88",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-10","0.64",",,S","77","H,,S","88",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-11","0.13",",,S","78","H,,S","86",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-12","0.09",",,S","80","H,,S","88",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-13","0.91",",,S","81","H,,S","87",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-14","0.00",",,S","80","H,,S","87",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-15",,,"81","H,,S","86",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-16","0.03",",,S","81","H,,S","86",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-17","0.09",",,S","81","H,,S","87",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-18","0.13",",,S","83","H,,S","89",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-19","0.00",",,S","81","H,,S","89",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-20",,,"80","H,,S","86",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-21","0.16",",,S","80","H,,S","86",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-22","0.00",",,S","81","H,,S","86",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-23",,,"81","H,,S","87",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-24",,,"82","H,,S","88",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-25",,,"83","H,,S","90",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-26",,,"81","H,,S","90",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-27",,,"82","H,,S","88",",,S","78",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-28",,,"83","H,,S","93",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-29",,,"83","H,,S","89",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-30","0.69",",,S","82","H,,S","89",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-05-31","0.18",",,S","82","H,,S","86",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-01","0.00",",,S","83","H,,S","89",",,S","77",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-02",,,"83","H,,S","89",",,S","77",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-03",,,"82","H,,S","88",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-04",,,"82","H,,S","89",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-05","0.19",",,S","78","H,,S",,,,
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-06","0.00",",,S","83","H,,S",,,,
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-07",,,"82","H,,S","89",",,S","77",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-08",,,"83","H,,S","90",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-09","0.08",",,S","83","H,,S","89",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-10","0.00",",,S","83","H,,S","88",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-11","0.18",",,S","82","H,,S","89",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-12","0.00",",,S","83","H,,S","89",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-13",,,"84","H,,S","91",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-14",,,"83","H,,S","91",",,S","78",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-15",,,"83","H,,S","89",",,S","78",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-16",,,"83","H,,S","90",",,S","78",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-17",,,"83","H,,S","91",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-18",,,"84","H,,S","91",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-19",,,"84","H,,S","91",",,S","77",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-20",,,"84","H,,S","90",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-21",,,"84","H,,S","90",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-22",,,"83","H,,S","89",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-23",,,"84","H,,S","89",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-24",,,"83","H,,S","89",",,S","76",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-25",,,"83","H,,S","89",",,S","77",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-26",,,"83","H,,S","90",",,S","77",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-27",,,"84","H,,S","90",",,S","79",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-28",,,"85","H,,S","90",",,S","78",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-29",,,"84","H,,S","91",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-06-30",,,"84","H,,S","92",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-07-01",,,"83","H,,S","91",",,S","77",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-07-02",,,"83","H,,S","89",",,S","78",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-07-03",,,"83","H,,S","90",",,S","78",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-07-04",,,"83","H,,S","91",",,S","75",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-07-05",,,"83","H,,S","90",",,S","75",",,S"
